"productId","productName","imageIndex","isPrimary","url","status","httpStatus","contentType","error"
"xnCLXV4bdJKf9uUBRH3G","Acustic","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762519874612-acustic2.jpg?alt=media&token=c768e296-6039-43d9-9525-4c56e25958ad","unavailable","402","application/json; charset=UTF-8",""
"ZtQdY6Pb69FyTJ1xXJAS","Akcija Proizvod","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741448848948-coral.jpg?alt=media&token=f1924b57-c165-4770-b2ae-032bb35ab057","unavailable","402","application/json; charset=UTF-8",""
"0HYakc8U67tj4V1e7TBQ","Akord","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762513246540-akord.webp?alt=media&token=f02d33ed-a353-4e5d-ae63-376a5fe9b7a8","unavailable","402","application/json; charset=UTF-8",""
"3vq91QABUOxppFvXLFKN","Alijansa Plus","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762513378987-alijansa.jpg?alt=media&token=8f620b62-39da-4fdd-a4b1-ff5427a99e55","unavailable","402","application/json; charset=UTF-8",""
"hDo1cSagRfkYrJExSrTv","Amino Copper 8","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741768948620-FITOFERT-AMINO-COPPER-8.jpg?alt=media&token=01a7e43d-dfaa-4b27-815c-a7724381780b","unavailable","402","application/json; charset=UTF-8",""
"VRdIWSOhoVzeZUYQQrp7","Aminoflex 25","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741767449322-1.jpg?alt=media&token=5f8c247f-0f4a-4f67-9e60-0d10986475e0","unavailable","402","application/json; charset=UTF-8",""
"9kI24Pwio8qT4HdvKdif","Aminomax 80","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741769086106-FITOFERT-AMINOMAX80.jpg?alt=media&token=bd4fd5d6-61c6-4935-874f-382930938207","unavailable","402","application/json; charset=UTF-8",""
"Jzxwj9imdZADJMPBUVsr","Astrid","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762508813305-Astrid.webp?alt=media&token=e78fbcb0-1b7a-4d12-a8b2-523c639ad802","unavailable","402","application/json; charset=UTF-8",""
"HeY8NupMoZr5Dro9Uvm9","Atlas Flow","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762513573124-Atlas-Flow-Fungicid1.jpg?alt=media&token=b5611772-e3ec-4fb3-9440-908fde66935b","unavailable","402","application/json; charset=UTF-8",""
"Tm4X8aJYbDPc8PSBlcoy","Bacillo Stoper","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764232721527-bacilo%20stoper.png?alt=media&token=4ba858cf-7fe5-41ff-944b-e71c14523efa","unavailable","402","application/json; charset=UTF-8",""
"K0QgAu9OhF8ZiV9BNSmT","Bacilomix Biotic B","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764233425155-BioticHome.png?alt=media&token=0a4b8362-66b8-41d7-8ee8-39d31091e25b","unavailable","402","application/json; charset=UTF-8",""
"36L0zycmIu0oJ9OBKWYd","Bacilomix Botrix B","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764233310283-BotrixHome.png?alt=media&token=1df2d830-8b0d-40a9-b5cb-33c300252309","unavailable","402","application/json; charset=UTF-8",""
"WtXAyhkz7iKVnjXcKPpF","Bacilomix Gramino B","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764233084810-GraminoHome.png?alt=media&token=f15d2b4e-17e3-4996-8a9e-b868ac28bd5b","unavailable","402","application/json; charset=UTF-8",""
"lGmVEKyMZW8txDVWnUZd","Bacilomix Orginal","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764232970494-bacilomix%20orginal.png?alt=media&token=81a640fb-a5d6-4f95-989c-c27a0b1de95f","unavailable","402","application/json; charset=UTF-8",""
"GSsozjuvGXarcfxnRg0v","Bacilomix Razor B","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764233164172-RazorHome.png?alt=media&token=bfecd4db-25e4-42eb-aa69-7ef4da73647f","unavailable","402","application/json; charset=UTF-8",""
"hSVW4ECh1dhyArEIlACt","Bacilomix Semennops ","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764232849470-SemennopsHome.png?alt=media&token=0ac67de2-443c-401e-9494-07093052bedc","unavailable","402","application/json; charset=UTF-8",""
"MYPPoBSev5cTeUJ28a5u","Bakarni Oksihlorid","0","true","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762513710601-bakarni_oksihlorid_50_b.jpg?alt=media&token=2cffa814-d481-4690-b587-8da3e2df0ea1","unavailable","402","application/json; charset=UTF-8",""
